source_base,spec,variable,std_err,p_value,contrast,coef,direction,stars,sign_stars
mixed,spec_extended_1_spline_interact,v2jureview_lag1,0.3632169894965291,0.4498304335554617,contract_vs_mixed,-0.2744822616270798,raw,,0
mixed,spec_extended_1_spline_interact,v2jureview_lag1,0.3632169894965291,0.4498304335554617,mixed_vs_contract,0.2744822616270798,reversed,,0
mixed,spec_extended_1_spline_interact,v2jureview_lag1,0.3457258179520662,0.1129855418216741,expand_vs_mixed,0.5479461962581886,raw,,0
mixed,spec_extended_1_spline_interact,v2jureview_lag1,0.3457258179520662,0.1129855418216741,mixed_vs_expand,-0.5479461962581886,reversed,,0
mixed,spec_extended_1_spline_interact,legal_common,0.4895881737684199,0.2112442477894873,contract_vs_mixed,0.6120593390294413,raw,,0
mixed,spec_extended_1_spline_interact,legal_common,0.4895881737684199,0.2112442477894873,mixed_vs_contract,-0.6120593390294413,reversed,,0
mixed,spec_extended_1_spline_interact,legal_common,0.4337835361906648,0.0001121776270187,expand_vs_mixed,-1.675540777516891,raw,***,-***
mixed,spec_extended_1_spline_interact,legal_common,0.4337835361906648,0.0001121776270187,mixed_vs_expand,1.675540777516891,reversed,***,+***
mixed,spec_extended_1_spline_interact,legal_civil,0.4420947510801021,0.4524706046689033,contract_vs_mixed,0.3321469066625856,raw,,0
mixed,spec_extended_1_spline_interact,legal_civil,0.4420947510801021,0.4524706046689033,mixed_vs_contract,-0.3321469066625856,reversed,,0
mixed,spec_extended_1_spline_interact,legal_civil,0.3842605164433894,0.307715947966703,expand_vs_mixed,-0.3919558650760342,raw,,0
mixed,spec_extended_1_spline_interact,legal_civil,0.3842605164433894,0.307715947966703,mixed_vs_expand,0.3919558650760342,reversed,,0
mixed,spec_extended_1_spline_interact,high_court,0.2808567316023623,0.1248136138613005,contract_vs_mixed,-0.4310810295120013,raw,,0
mixed,spec_extended_1_spline_interact,high_court,0.2808567316023623,0.1248136138613005,mixed_vs_contract,0.4310810295120013,reversed,,0
mixed,spec_extended_1_spline_interact,high_court,0.1723553121921153,0.2226498945943237,expand_vs_mixed,-0.2101893848848232,raw,,0
mixed,spec_extended_1_spline_interact,high_court,0.1723553121921153,0.2226498945943237,mixed_vs_expand,0.2101893848848232,reversed,,0
mixed,spec_extended_1_spline_interact,j_ind_lag1,0.2789325931759312,0.8527668924605413,contract_vs_mixed,0.051766887889113,raw,,0
mixed,spec_extended_1_spline_interact,j_ind_lag1,0.2789325931759312,0.8527668924605413,mixed_vs_contract,-0.051766887889113,reversed,,0
mixed,spec_extended_1_spline_interact,j_ind_lag1,0.2082330152219357,0.053668865258322,expand_vs_mixed,0.4017855270141603,raw,*,+*
mixed,spec_extended_1_spline_interact,j_ind_lag1,0.2082330152219357,0.053668865258322,mixed_vs_expand,-0.4017855270141603,reversed,*,-*
mixed,spec_extended_2,wdj_expression_lag1,0.2639589522052692,0.2295206508191545,contract_vs_mixed,0.3171716406020479,raw,,0
mixed,spec_extended_2,wdj_expression_lag1,0.2639589522052692,0.2295206508191545,mixed_vs_contract,-0.3171716406020479,reversed,,0
mixed,spec_extended_2,wdj_expression_lag1,0.2360141724192122,0.8715717583893992,expand_vs_mixed,0.0381546046738786,raw,,0
mixed,spec_extended_2,wdj_expression_lag1,0.2360141724192122,0.8715717583893992,mixed_vs_expand,-0.0381546046738786,reversed,,0
mixed,spec_extended_2,v2jupoatck_lag1,0.1276360693417583,0.0673963183691544,contract_vs_mixed,0.2334491738798235,raw,*,+*
mixed,spec_extended_2,v2jupoatck_lag1,0.1276360693417583,0.0673963183691544,mixed_vs_contract,-0.2334491738798235,reversed,*,-*
mixed,spec_extended_2,v2jupoatck_lag1,0.1115849233405988,0.7200628210215491,expand_vs_mixed,0.0399892285586039,raw,,0
mixed,spec_extended_2,v2jupoatck_lag1,0.1115849233405988,0.7200628210215491,mixed_vs_expand,-0.0399892285586039,reversed,,0
mixed,spec_extended_2,v2x_polyarchy_lag1,1.2979429438590335,2.145639261412546e-05,contract_vs_mixed,-5.515180377852407,raw,***,-***
mixed,spec_extended_2,v2x_polyarchy_lag1,1.2979429438590335,2.145639261412546e-05,mixed_vs_contract,5.515180377852407,reversed,***,+***
mixed,spec_extended_2,v2x_polyarchy_lag1,0.9134026718971984,0.0201270798796037,expand_vs_mixed,-2.122720784015016,raw,**,-**
mixed,spec_extended_2,v2x_polyarchy_lag1,0.9134026718971984,0.0201270798796037,mixed_vs_expand,2.122720784015016,reversed,**,+**
mixed,spec_extended_2,v2jureview_lag1,0.3638650917046389,0.434766063084855,contract_vs_mixed,-0.2842011759360449,raw,,0
mixed,spec_extended_2,v2jureview_lag1,0.3638650917046389,0.434766063084855,mixed_vs_contract,0.2842011759360449,reversed,,0
mixed,spec_extended_2,v2jureview_lag1,0.3506782681848023,0.1633598789726832,expand_vs_mixed,0.4887964182872464,raw,,0
mixed,spec_extended_2,v2jureview_lag1,0.3506782681848023,0.1633598789726832,mixed_vs_expand,-0.4887964182872464,reversed,,0
mixed,spec_extended_2,legal_common,0.476574493084964,0.2660663138652374,contract_vs_mixed,0.5300304684169892,raw,,0
mixed,spec_extended_2,legal_common,0.476574493084964,0.2660663138652374,mixed_vs_contract,-0.5300304684169892,reversed,,0
mixed,spec_extended_2,legal_common,0.3901570224680867,0.0024431879003051,expand_vs_mixed,-1.182289036494717,raw,***,-***
mixed,spec_extended_2,legal_common,0.3901570224680867,0.0024431879003051,mixed_vs_expand,1.182289036494717,reversed,***,+***
mixed,spec_extended_2,legal_civil,0.4264834681180234,0.6406115831405674,contract_vs_mixed,0.1991011945788415,raw,,0
mixed,spec_extended_2,legal_civil,0.4264834681180234,0.6406115831405674,mixed_vs_contract,-0.1991011945788415,reversed,,0
mixed,spec_extended_2,legal_civil,0.3613764025880706,0.6722499623786062,expand_vs_mixed,-0.1528846553012576,raw,,0
mixed,spec_extended_2,legal_civil,0.3613764025880706,0.6722499623786062,mixed_vs_expand,0.1528846553012576,reversed,,0
mixed,spec_extended_2,high_court,0.2731248056401976,0.0490999847677692,contract_vs_mixed,-0.5374338034320993,raw,**,-**
mixed,spec_extended_2,high_court,0.2731248056401976,0.0490999847677692,mixed_vs_contract,0.5374338034320993,reversed,**,+**
mixed,spec_extended_2,high_court,0.1567218335842625,0.8772921611782939,expand_vs_mixed,-0.0241982869202133,raw,,0
mixed,spec_extended_2,high_court,0.1567218335842625,0.8772921611782939,mixed_vs_expand,0.0241982869202133,reversed,,0
mixed,spec_extended_2,j_ind_lag1,0.2525953108388173,0.4798037971370996,contract_vs_mixed,0.1784884351268973,raw,,0
mixed,spec_extended_2,j_ind_lag1,0.2525953108388173,0.4798037971370996,mixed_vs_contract,-0.1784884351268973,reversed,,0
mixed,spec_extended_2,j_ind_lag1,0.2004246603302013,0.0731147812671136,expand_vs_mixed,0.3591837464545938,raw,*,+*
mixed,spec_extended_2,j_ind_lag1,0.2004246603302013,0.0731147812671136,mixed_vs_expand,-0.3591837464545938,reversed,*,-*
mixed,spec_extended_2_spline,wdj_expression_lag1,0.4727251284774752,0.1949690923885165,contract_vs_mixed,0.6126605379026185,raw,,0
mixed,spec_extended_2_spline,wdj_expression_lag1,0.4727251284774752,0.1949690923885165,mixed_vs_contract,-0.6126605379026185,reversed,,0
mixed,spec_extended_2_spline,wdj_expression_lag1,0.3603556266405741,0.7047935526102522,expand_vs_mixed,0.1365234964039686,raw,,0
mixed,spec_extended_2_spline,wdj_expression_lag1,0.3603556266405741,0.7047935526102522,mixed_vs_expand,-0.1365234964039686,reversed,,0
mixed,spec_extended_2_spline,v2jupoatck_lag1,0.1460604424272819,0.1202439911271534,contract_vs_mixed,0.2269414554100875,raw,,0
mixed,spec_extended_2_spline,v2jupoatck_lag1,0.1460604424272819,0.1202439911271534,mixed_vs_contract,-0.2269414554100875,reversed,,0
mixed,spec_extended_2_spline,v2jupoatck_lag1,0.1342514552462005,0.7686005873426223,expand_vs_mixed,-0.0394975676109051,raw,,0
mixed,spec_extended_2_spline,v2jupoatck_lag1,0.1342514552462005,0.7686005873426223,mixed_vs_expand,0.0394975676109051,reversed,,0
mixed,spec_extended_2_spline,v2x_polyarchy_lag1,1.5448205420869516,0.0015341455317308,contract_vs_mixed,-4.894216736745731,raw,***,-***
mixed,spec_extended_2_spline,v2x_polyarchy_lag1,1.5448205420869516,0.0015341455317308,mixed_vs_contract,4.894216736745731,reversed,***,+***
mixed,spec_extended_2_spline,v2x_polyarchy_lag1,1.1843120210672642,0.1990133940503947,expand_vs_mixed,-1.521091886418196,raw,,0
mixed,spec_extended_2_spline,v2x_polyarchy_lag1,1.1843120210672642,0.1990133940503947,mixed_vs_expand,1.521091886418196,reversed,,0
mixed,spec_extended_2_spline,v2jureview_lag1,0.3615472943544368,0.4503380871076098,contract_vs_mixed,-0.2729145186976264,raw,,0
mixed,spec_extended_2_spline,v2jureview_lag1,0.3615472943544368,0.4503380871076098,mixed_vs_contract,0.2729145186976264,reversed,,0
mixed,spec_extended_2_spline,v2jureview_lag1,0.3338253380856802,0.2228404831199463,expand_vs_mixed,0.4069363496508527,raw,,0
mixed,spec_extended_2_spline,v2jureview_lag1,0.3338253380856802,0.2228404831199463,mixed_vs_expand,-0.4069363496508527,reversed,,0
mixed,spec_extended_2_spline,legal_common,0.457336641728345,0.4345175463435743,contract_vs_mixed,0.3574015304017212,raw,,0
mixed,spec_extended_2_spline,legal_common,0.457336641728345,0.4345175463435743,mixed_vs_contract,-0.3574015304017212,reversed,,0
mixed,spec_extended_2_spline,legal_common,0.3700845782842824,0.0004113740689242,expand_vs_mixed,-1.3073894383118825,raw,***,-***
mixed,spec_extended_2_spline,legal_common,0.3700845782842824,0.0004113740689242,mixed_vs_expand,1.3073894383118825,reversed,***,+***
mixed,spec_extended_2_spline,legal_civil,0.4084122645765821,0.6624126828576273,contract_vs_mixed,0.1783064771375627,raw,,0
mixed,spec_extended_2_spline,legal_civil,0.4084122645765821,0.6624126828576273,mixed_vs_contract,-0.1783064771375627,reversed,,0
mixed,spec_extended_2_spline,legal_civil,0.3520263871102003,0.6334492705882052,expand_vs_mixed,-0.1678735050405602,raw,,0
mixed,spec_extended_2_spline,legal_civil,0.3520263871102003,0.6334492705882052,mixed_vs_expand,0.1678735050405602,reversed,,0
mixed,spec_extended_2_spline,high_court,0.2991354006167985,0.0703292796088585,contract_vs_mixed,-0.5413704820717585,raw,*,-*
mixed,spec_extended_2_spline,high_court,0.2991354006167985,0.0703292796088585,mixed_vs_contract,0.5413704820717585,reversed,*,+*
mixed,spec_extended_2_spline,high_court,0.1736324961623755,0.3050804472326893,expand_vs_mixed,-0.1780773850522217,raw,,0
mixed,spec_extended_2_spline,high_court,0.1736324961623755,0.3050804472326893,mixed_vs_expand,0.1780773850522217,reversed,,0
mixed,spec_extended_2_spline,j_ind_lag1,0.263675556748485,0.6855826423079576,contract_vs_mixed,0.1067508895652475,raw,,0
mixed,spec_extended_2_spline,j_ind_lag1,0.263675556748485,0.6855826423079576,mixed_vs_contract,-0.1067508895652475,reversed,,0
mixed,spec_extended_2_spline,j_ind_lag1,0.2033366783624706,0.1079635682586139,expand_vs_mixed,0.3268462353171295,raw,,0
mixed,spec_extended_2_spline,j_ind_lag1,0.2033366783624706,0.1079635682586139,mixed_vs_expand,-0.3268462353171295,reversed,,0
mixed,spec_extended_2_spline_interact,v2x_polyarchy_lag1,164.3548476112792,0.2502772568923749,contract_vs_mixed,188.954858065695,raw,,0
mixed,spec_extended_2_spline_interact,v2x_polyarchy_lag1,164.3548476112792,0.2502772568923749,mixed_vs_contract,-188.954858065695,reversed,,0
mixed,spec_extended_2_spline_interact,v2x_polyarchy_lag1,94.13122364611102,0.8804436662735944,expand_vs_mixed,14.157977369970862,raw,,0
mixed,spec_extended_2_spline_interact,v2x_polyarchy_lag1,94.13122364611102,0.8804436662735944,mixed_vs_expand,-14.157977369970862,reversed,,0
mixed,spec_extended_2_spline_interact,wdj_expression_lag1,0.5561475679855037,0.1667565146967444,contract_vs_mixed,0.7689858899060414,raw,,0
mixed,spec_extended_2_spline_interact,wdj_expression_lag1,0.5561475679855037,0.1667565146967444,mixed_vs_contract,-0.7689858899060414,reversed,,0
mixed,spec_extended_2_spline_interact,wdj_expression_lag1,0.3689021436308664,0.4806990048622332,expand_vs_mixed,0.2601419518921286,raw,,0
mixed,spec_extended_2_spline_interact,wdj_expression_lag1,0.3689021436308664,0.4806990048622332,mixed_vs_expand,-0.2601419518921286,reversed,,0
mixed,spec_extended_2_spline_interact,v2jupoatck_lag1,0.1517152183766047,0.1406898657805769,contract_vs_mixed,0.2235109398334484,raw,,0
mixed,spec_extended_2_spline_interact,v2jupoatck_lag1,0.1517152183766047,0.1406898657805769,mixed_vs_contract,-0.2235109398334484,reversed,,0
mixed,spec_extended_2_spline_interact,v2jupoatck_lag1,0.143434191447507,0.6977601304394472,expand_vs_mixed,-0.0557020692472493,raw,,0
mixed,spec_extended_2_spline_interact,v2jupoatck_lag1,0.143434191447507,0.6977601304394472,mixed_vs_expand,0.0557020692472493,reversed,,0
mixed,spec_extended_2_spline_interact,v2jureview_lag1,0.3599620049910075,0.5859223582165036,contract_vs_mixed,-0.1960909313151274,raw,,0
mixed,spec_extended_2_spline_interact,v2jureview_lag1,0.3599620049910075,0.5859223582165036,mixed_vs_contract,0.1960909313151274,reversed,,0
mixed,spec_extended_2_spline_interact,v2jureview_lag1,0.342894237792929,0.1182420657557046,expand_vs_mixed,0.5356676527369019,raw,,0
mixed,spec_extended_2_spline_interact,v2jureview_lag1,0.342894237792929,0.1182420657557046,mixed_vs_expand,-0.5356676527369019,reversed,,0
mixed,spec_extended_2_spline_interact,legal_common,0.4514206322495001,0.522693800487918,contract_vs_mixed,0.2885473960826571,raw,,0
mixed,spec_extended_2_spline_interact,legal_common,0.4514206322495001,0.522693800487918,mixed_vs_contract,-0.2885473960826571,reversed,,0
mixed,spec_extended_2_spline_interact,legal_common,0.3662110821042209,0.0001222003624578,expand_vs_mixed,-1.4068619028195877,raw,***,-***
mixed,spec_extended_2_spline_interact,legal_common,0.3662110821042209,0.0001222003624578,mixed_vs_expand,1.4068619028195877,reversed,***,+***
mixed,spec_extended_2_spline_interact,legal_civil,0.4072049776818673,0.682694276012717,contract_vs_mixed,0.1664610471573128,raw,,0
