spec,variable,contrast,coef_mean,coef_min,coef_max,std_err_mean,p_value_mean,n_versions,max_abs_diff,stars,coef_se
spec_c_pack_decision,v2jureview_lag1,expand_vs_mixed,0.29838597632043784,0.2983859763204367,0.298385976320439,0.35488799821313954,0.4004660697748553,2,2.3314683517128287e-15,,0.298 (0.355)
spec_c_pack_decision,v2x_polyarchy_lag1,contract_vs_expand,-3.5286131372993426,-3.528613137299349,-3.528613137299337,1.1108328560411485,0.0014903947038173,2,1.199040866595169e-14,***,-3.529*** (1.111)
spec_c_pack_decision,v2x_polyarchy_lag1,contract_vs_mixed,-6.84472487306506,-6.844724873065064,-6.844724873065056,1.7700152875844501,0.0001101630997204,2,7.993605777301127e-15,***,-6.845*** (1.770)
spec_c_pack_decision,v2x_polyarchy_lag1,expand_vs_mixed,-3.316111735765717,-3.316111735765725,-3.3161117357657086,1.2744095450039534,0.0092661051425671,2,1.6431300764452317e-14,***,-3.316*** (1.274)
spec_c_pack_decision,wdj_citizen_lag1,contract_vs_expand,0.2234925877334186,0.2234925877334184,0.2234925877334188,0.3999764203685485,0.5763225160355627,2,3.885780586188048e-16,,0.223 (0.400)
spec_c_pack_decision,wdj_citizen_lag1,contract_vs_mixed,0.7271011641823941,0.7271011641823938,0.7271011641823943,0.6197274609751949,0.24069173661182025,2,5.551115123125783e-16,,0.727 (0.620)
spec_c_pack_decision,wdj_citizen_lag1,expand_vs_mixed,0.503608576448975,0.5036085764489748,0.5036085764489752,0.365168565255371,0.1678600336869399,2,3.3306690738754696e-16,,0.504 (0.365)
spec_c_reform,high_court,contract_vs_expand,-0.4309835902825645,-0.4309835902825646,-0.4309835902825644,0.2617556666026354,0.0996585926178213,2,2.220446049250313e-16,*,-0.431* (0.262)
spec_c_reform,high_court,contract_vs_mixed,-0.478566224351009,-0.4785662243510091,-0.4785662243510089,0.28586312147862303,0.09410904188710059,2,2.220446049250313e-16,*,-0.479* (0.286)
spec_c_reform,high_court,expand_vs_mixed,-0.04758263406844475,-0.0475826340684448,-0.0475826340684447,0.14113339913999115,0.7360064519145172,2,9.71445146547012e-17,,-0.048 (0.141)
spec_c_reform,j_ind_lag1,contract_vs_expand,-0.23292413721942457,-0.2329241372194255,-0.2329241372194236,0.2573555170157238,0.3654295815274218,2,1.915134717478395e-15,,-0.233 (0.257)
spec_c_reform,j_ind_lag1,contract_vs_mixed,0.17896914571343625,0.1789691457134348,0.1789691457134377,0.2399149679821474,0.45568609900961815,2,2.886579864025407e-15,,0.179 (0.240)
spec_c_reform,j_ind_lag1,expand_vs_mixed,0.4118932829328613,0.4118932829328606,0.411893282932862,0.1837584002584213,0.024994117935509798,2,1.3877787807814457e-15,**,0.412** (0.184)
spec_c_reform,legal_civil,contract_vs_expand,0.6585345444481492,0.6585345444481482,0.6585345444481503,0.3587577844026192,0.06641735063218965,2,2.1094237467877974e-15,*,0.659* (0.359)
spec_c_reform,legal_civil,contract_vs_mixed,0.1498633790483309,0.1498633790483307,0.1498633790483311,0.444334990083456,0.735909102967927,2,4.163336342344337e-16,,0.150 (0.444)
spec_c_reform,legal_civil,expand_vs_mixed,-0.5086711653998178,-0.5086711653998179,-0.5086711653998177,0.30953013523534584,0.1003073204005301,2,2.220446049250313e-16,,-0.509 (0.310)
spec_c_reform,legal_common,contract_vs_expand,2.2392033149459607,2.23920331494596,2.239203314945961,0.360358618028293,5.171201186266682e-10,2,1.3322676295501878e-15,***,2.239*** (0.360)
spec_c_reform,legal_common,contract_vs_mixed,0.9518746979790254,0.9518746979790244,0.9518746979790264,0.5218581026504319,0.06815047349078371,2,1.9984014443252818e-15,*,0.952* (0.522)
spec_c_reform,legal_common,expand_vs_mixed,-1.2873286169669336,-1.2873286169669345,-1.2873286169669325,0.4448637338885675,0.0038065970724787002,2,1.9984014443252818e-15,***,-1.287*** (0.445)
spec_c_reform,v2jureform_lag1,contract_vs_expand,0.32763694078795663,0.3276369407879561,0.3276369407879572,0.1231639777943779,0.00781015551399315,2,1.1102230246251565e-15,***,0.328*** (0.123)
spec_c_reform,v2jureform_lag1,contract_vs_mixed,0.1734224954535171,0.1734224954535169,0.1734224954535173,0.2330233423576193,0.4567385528043222,2,3.885780586188048e-16,,0.173 (0.233)
spec_c_reform,v2jureform_lag1,expand_vs_mixed,-0.1542144453344394,-0.1542144453344397,-0.1542144453344391,0.16698233406999563,0.3557271736589812,2,6.106226635438361e-16,,-0.154 (0.167)
spec_c_reform,v2jureview_lag1,contract_vs_expand,-0.7898151993639263,-0.7898151993639282,-0.7898151993639244,0.2996335245492783,0.00839052209174105,2,3.774758283725532e-15,***,-0.790*** (0.300)
spec_c_reform,v2jureview_lag1,contract_vs_mixed,-0.33088841003969166,-0.3308884100396943,-0.330888410039689,0.34139854159149385,0.33243818779169493,2,5.329070518200751e-15,,-0.331 (0.341)
spec_c_reform,v2jureview_lag1,expand_vs_mixed,0.45892678932423403,0.4589267893242313,0.4589267893242368,0.3589113750922217,0.20101566239371416,2,5.495603971894525e-15,,0.459 (0.359)
spec_c_reform,v2x_polyarchy_lag1,contract_vs_expand,-3.5736792222660276,-3.573679222266038,-3.5736792222660174,1.2298069966708258,0.0036621457139507,2,2.042810365310288e-14,***,-3.574*** (1.230)
spec_c_reform,v2x_polyarchy_lag1,contract_vs_mixed,-5.359902058755807,-5.359902058755812,-5.359902058755802,1.3409049476004178,6.408871611360802e-05,2,9.769962616701378e-15,***,-5.360*** (1.341)
spec_c_reform,v2x_polyarchy_lag1,expand_vs_mixed,-1.7862228364897839,-1.7862228364897854,-1.7862228364897823,0.7888218712939393,0.02354838735331975,2,3.1086244689504383e-15,**,-1.786** (0.789)
spec_c_reform,wdj_citizen_lag1,contract_vs_expand,0.2654875824841907,0.2654875824841903,0.2654875824841911,0.41498114915100787,0.5223298281594021,2,7.771561172376096e-16,,0.265 (0.415)
spec_c_reform,wdj_citizen_lag1,contract_vs_mixed,0.9453468471866078,0.9453468471866076,0.945346847186608,0.6425469799167703,0.14122368680195502,2,4.440892098500626e-16,,0.945 (0.643)
spec_c_reform,wdj_citizen_lag1,expand_vs_mixed,0.6798592647024169,0.6798592647024169,0.6798592647024169,0.41373806939097424,0.10033912581031115,2,0.0,,0.680 (0.414)
