spec,variable,contrast,n_versions,sources,coef_min,coef_max,coef_mean,max_abs_diff,sign_patterns
spec_c_attack,v2x_polyarchy_lag1,mixed_vs_contract,2,"contract, mixed",5.696540740162513,5.696540740162546,5.696540740162529,3.2862601528904634e-14,+***
spec_c_attack,v2x_polyarchy_lag1,contract_vs_mixed,2,"contract, mixed",-5.696540740162546,-5.696540740162513,-5.696540740162529,3.2862601528904634e-14,-***
spec_govprot_reform,v2x_polyarchy_lag1,mixed_vs_contract,2,"contract, mixed",5.096674954105114,5.096674954105146,5.09667495410513,3.197442310920451e-14,+***
spec_govprot_reform,v2x_polyarchy_lag1,contract_vs_mixed,2,"contract, mixed",-5.096674954105146,-5.096674954105114,-5.09667495410513,3.197442310920451e-14,-***
spec_c_pack,v2x_polyarchy_lag1,contract_vs_mixed,2,"contract, mixed",-7.0008296035909146,-7.000829603590883,-7.000829603590899,3.197442310920451e-14,-***
spec_c_pack,v2x_polyarchy_lag1,mixed_vs_contract,2,"contract, mixed",7.000829603590883,7.0008296035909146,7.000829603590899,3.197442310920451e-14,+***
spec_extended_3_spline_interact,legal_common,expand_vs_mixed,2,"expand, mixed",-1.3999058119244288,-1.399905811924397,-1.399905811924413,3.175237850427948e-14,-***
spec_extended_3_spline_interact,legal_common,mixed_vs_expand,2,"expand, mixed",1.399905811924397,1.3999058119244288,1.399905811924413,3.175237850427948e-14,+***
spec_c_reform_decision,v2x_polyarchy_lag1,expand_vs_mixed,2,"expand, mixed",-1.9310744999677536,-1.9310744999677243,-1.931074499967739,2.930988785010413e-14,-**
spec_c_reform_decision,v2x_polyarchy_lag1,mixed_vs_expand,2,"expand, mixed",1.9310744999677243,1.9310744999677536,1.931074499967739,2.930988785010413e-14,+**
spec_extended_1_spline_interact,j_ind_lag1,mixed_vs_expand,2,"expand, mixed",-0.4017855270141895,-0.4017855270141603,-0.4017855270141749,2.919886554764162e-14,-*
spec_extended_1_spline_interact,j_ind_lag1,expand_vs_mixed,2,"expand, mixed",0.4017855270141603,0.4017855270141895,0.4017855270141749,2.919886554764162e-14,+*
spec_extended_2_spline,v2x_polyarchy_lag1,mixed_vs_expand,2,"expand, mixed",1.5210918864181668,1.521091886418196,1.5210918864181813,2.90878432451791e-14,0
spec_extended_2_spline,v2x_polyarchy_lag1,expand_vs_mixed,2,"expand, mixed",-1.521091886418196,-1.5210918864181668,-1.5210918864181813,2.90878432451791e-14,0
spec_extended_3_spline_interact,j_ind_lag1,contract_vs_mixed,2,"contract, mixed",0.1311049209602872,0.1311049209603155,0.13110492096030135,2.8310687127941492e-14,0
spec_extended_3_spline_interact,j_ind_lag1,mixed_vs_contract,2,"contract, mixed",-0.1311049209603155,-0.1311049209602872,-0.13110492096030135,2.8310687127941492e-14,0
spec_extended_3_spline_interact,v2jureview_lag1,mixed_vs_expand,2,"expand, mixed",-0.5543544510681249,-0.5543544510680966,-0.5543544510681107,2.8310687127941492e-14,0
spec_extended_3_spline_interact,v2jureview_lag1,expand_vs_mixed,2,"expand, mixed",0.5543544510680966,0.5543544510681249,0.5543544510681107,2.8310687127941492e-14,0
spec_govprot_pack_decision,v2x_polyarchy_lag1,contract_vs_mixed,2,"contract, mixed",-6.776495040269953,-6.776495040269926,-6.776495040269939,2.7533531010703882e-14,-***
spec_govprot_pack_decision,v2x_polyarchy_lag1,mixed_vs_contract,2,"contract, mixed",6.776495040269926,6.776495040269953,6.776495040269939,2.7533531010703882e-14,+***
spec_p_pack,v2x_polyarchy_lag1,expand_vs_contract,2,"contract, expand",4.01220122053499,4.012201220535018,4.012201220535005,2.7533531010703882e-14,+***
spec_p_pack,v2x_polyarchy_lag1,contract_vs_expand,2,"contract, expand",-4.012201220535018,-4.01220122053499,-4.012201220535005,2.7533531010703882e-14,-***
spec_c_attack,v2x_polyarchy_lag1,mixed_vs_expand,2,"expand, mixed",2.252138264871105,2.252138264871132,2.2521382648711183,2.708944180085382e-14,+**
spec_c_attack,v2x_polyarchy_lag1,expand_vs_mixed,2,"expand, mixed",-2.252138264871132,-2.252138264871105,-2.2521382648711183,2.708944180085382e-14,-**
spec_extended_1_spline_interact,v2jureform_lag1,mixed_vs_expand,2,"expand, mixed",0.2017869543779688,0.2017869543779952,0.201786954377982,2.6395552410463097e-14,0
spec_extended_1_spline_interact,v2jureform_lag1,expand_vs_mixed,2,"expand, mixed",-0.2017869543779952,-0.2017869543779688,-0.201786954377982,2.6395552410463097e-14,0
