variable,coef,class_label,outcome,std_err,p_value,spec,base_category,stars,coef_se,source_base,source_base_label,outcome_short,base_short
v2x_polyarchy_lag1,-2.122720784015016,Expands Expression,Expands Expression,0.9134026718971984,0.0201270798796037,spec_extended_2,Mixed Outcome,**,-2.123** (0.913),mixed,Mixed Outcome,expand,mixed
v2jureview_lag1,-0.2842011759360449,Contracts Expression,Contracts Expression,0.3638650917046389,0.434766063084855,spec_extended_2,Mixed Outcome,,-0.284 (0.364),mixed,Mixed Outcome,contract,mixed
v2jureview_lag1,0.4887964182872464,Expands Expression,Expands Expression,0.3506782681848023,0.1633598789726832,spec_extended_2,Mixed Outcome,,0.489 (0.351),mixed,Mixed Outcome,expand,mixed
legal_common,0.5300304684169892,Contracts Expression,Contracts Expression,0.476574493084964,0.2660663138652374,spec_extended_2,Mixed Outcome,,0.53 (0.477),mixed,Mixed Outcome,contract,mixed
legal_common,-1.182289036494717,Expands Expression,Expands Expression,0.3901570224680867,0.0024431879003051,spec_extended_2,Mixed Outcome,***,-1.182*** (0.39),mixed,Mixed Outcome,expand,mixed
legal_civil,0.1991011945788415,Contracts Expression,Contracts Expression,0.4264834681180234,0.6406115831405674,spec_extended_2,Mixed Outcome,,0.199 (0.426),mixed,Mixed Outcome,contract,mixed
legal_civil,-0.1528846553012576,Expands Expression,Expands Expression,0.3613764025880706,0.6722499623786062,spec_extended_2,Mixed Outcome,,-0.153 (0.361),mixed,Mixed Outcome,expand,mixed
high_court,-0.5374338034320993,Contracts Expression,Contracts Expression,0.2731248056401976,0.0490999847677692,spec_extended_2,Mixed Outcome,**,-0.537** (0.273),mixed,Mixed Outcome,contract,mixed
high_court,-0.0241982869202133,Expands Expression,Expands Expression,0.1567218335842625,0.8772921611782939,spec_extended_2,Mixed Outcome,,-0.024 (0.157),mixed,Mixed Outcome,expand,mixed
j_ind_lag1,0.1784884351268973,Contracts Expression,Contracts Expression,0.2525953108388173,0.4798037971370996,spec_extended_2,Mixed Outcome,,0.178 (0.253),mixed,Mixed Outcome,contract,mixed
j_ind_lag1,0.3591837464545938,Expands Expression,Expands Expression,0.2004246603302013,0.0731147812671136,spec_extended_2,Mixed Outcome,*,0.359* (0.2),mixed,Mixed Outcome,expand,mixed
wdj_expression_lag1,0.6126605379026185,Contracts Expression,Contracts Expression,0.4727251284774752,0.1949690923885165,spec_extended_2_spline,Mixed Outcome,,0.613 (0.473),mixed,Mixed Outcome,contract,mixed
wdj_expression_lag1,0.1365234964039686,Expands Expression,Expands Expression,0.3603556266405741,0.7047935526102522,spec_extended_2_spline,Mixed Outcome,,0.137 (0.36),mixed,Mixed Outcome,expand,mixed
v2jupoatck_lag1,0.2269414554100875,Contracts Expression,Contracts Expression,0.1460604424272819,0.1202439911271534,spec_extended_2_spline,Mixed Outcome,,0.227 (0.146),mixed,Mixed Outcome,contract,mixed
v2jupoatck_lag1,-0.0394975676109051,Expands Expression,Expands Expression,0.1342514552462005,0.7686005873426223,spec_extended_2_spline,Mixed Outcome,,-0.039 (0.134),mixed,Mixed Outcome,expand,mixed
v2x_polyarchy_lag1,-4.894216736745731,Contracts Expression,Contracts Expression,1.5448205420869516,0.0015341455317308,spec_extended_2_spline,Mixed Outcome,***,-4.894*** (1.545),mixed,Mixed Outcome,contract,mixed
v2x_polyarchy_lag1,-1.521091886418196,Expands Expression,Expands Expression,1.1843120210672642,0.1990133940503947,spec_extended_2_spline,Mixed Outcome,,-1.521 (1.184),mixed,Mixed Outcome,expand,mixed
