variable,coef,class_label,outcome,std_err,p_value,spec,base_category,stars,coef_se
"bs(year, df=4)[2]:v2x_polyarchy_lag1",155.49282549466673,Contracts Expression,Contracts Expression,103.29225749097816,0.1322295749648497,spec_extended_1_spline_interact,Mixed Outcome,,155.493 (103.292)
"bs(year, df=4)[2]:v2x_polyarchy_lag1",188.52395083302414,Expands Expression,Expands Expression,167.9515942857753,0.2616542436560779,spec_extended_1_spline_interact,Mixed Outcome,,188.524 (167.952)
"bs(year, df=4)[3]:v2x_polyarchy_lag1",154.62249160044084,Contracts Expression,Contracts Expression,102.66625327169919,0.13204938610817002,spec_extended_1_spline_interact,Mixed Outcome,,154.622 (102.666)
"bs(year, df=4)[3]:v2x_polyarchy_lag1",177.44761556875903,Expands Expression,Expands Expression,167.52931965972147,0.2895071825449078,spec_extended_1_spline_interact,Mixed Outcome,,177.448 (167.529)
wdj_expression_lag1,-0.12566487717057545,Contracts Expression,Contracts Expression,0.36694258287576564,0.7320012140127121,spec_extended_1_spline_interact,Mixed Outcome,,-0.126 (0.367)
wdj_expression_lag1,-0.5166472720910246,Expands Expression,Expands Expression,0.507220939569276,0.30840037365105033,spec_extended_1_spline_interact,Mixed Outcome,,-0.517 (0.507)
v2jureform_lag1,-0.40665689130270843,Contracts Expression,Contracts Expression,0.12809335279149955,0.0014999582672614864,spec_extended_1_spline_interact,Mixed Outcome,***,-0.407*** (0.128)
v2jureform_lag1,-0.20486993692468622,Expands Expression,Expands Expression,0.2332386179071158,0.3797426520208821,spec_extended_1_spline_interact,Mixed Outcome,,-0.205 (0.233)
v2jureview_lag1,0.822428457885262,Contracts Expression,Contracts Expression,0.3153570702217546,0.0091092176157111,spec_extended_1_spline_interact,Mixed Outcome,***,0.822*** (0.315)
v2jureview_lag1,0.27448226162711686,Expands Expression,Expands Expression,0.36321698950296505,0.44983043356343055,spec_extended_1_spline_interact,Mixed Outcome,,0.274 (0.363)
legal_common,-2.287600116546324,Contracts Expression,Contracts Expression,0.3883714584509298,3.856410570857282e-09,spec_extended_1_spline_interact,Mixed Outcome,***,-2.288*** (0.388)
legal_common,-0.6120593390293257,Expands Expression,Expands Expression,0.48958817378746633,0.21124424780733653,spec_extended_1_spline_interact,Mixed Outcome,,-0.612 (0.49)
legal_civil,-0.7241027717386053,Contracts Expression,Contracts Expression,0.364414289837077,0.04691887618489221,spec_extended_1_spline_interact,Mixed Outcome,**,-0.724** (0.364)
legal_civil,-0.3321469066624674,Expands Expression,Expands Expression,0.4420947511090639,0.4524706046986783,spec_extended_1_spline_interact,Mixed Outcome,,-0.332 (0.442)
high_court,0.22089164462717248,Contracts Expression,Contracts Expression,0.3186736057548726,0.488209446634856,spec_extended_1_spline_interact,Mixed Outcome,,0.221 (0.319)
high_court,0.4310810295119867,Expands Expression,Expands Expression,0.280856731574371,0.12481361382373078,spec_extended_1_spline_interact,Mixed Outcome,,0.431 (0.281)
j_ind_lag1,0.3500186391250158,Contracts Expression,Contracts Expression,0.2715641139171512,0.1974332987395565,spec_extended_1_spline_interact,Mixed Outcome,,0.35 (0.272)
j_ind_lag1,-0.05176688788921377,Expands Expression,Expands Expression,0.2789325930726561,0.8527668924063678,spec_extended_1_spline_interact,Mixed Outcome,,-0.052 (0.279)
Intercept,-2.121466554353236,Contracts Expression,Contracts Expression,0.6478158921433197,0.001057373399109058,spec_extended_2,Mixed Outcome,***,-2.121*** (0.648)
Intercept,-3.8041098095765236,Expands Expression,Expands Expression,0.7618739124888101,5.9418912857508e-07,spec_extended_2,Mixed Outcome,***,-3.804*** (0.762)
wdj_expression_lag1,-0.2790170359281681,Contracts Expression,Contracts Expression,0.212486656018821,0.1891479728469564,spec_extended_2,Mixed Outcome,,-0.279 (0.212)
wdj_expression_lag1,-0.31717164060204583,Expands Expression,Expands Expression,0.26395895220527044,0.22952065081915962,spec_extended_2,Mixed Outcome,,-0.317 (0.264)
v2jupoatck_lag1,-0.19345994532121932,Contracts Expression,Contracts Expression,0.10173614576360371,0.057225409149407,spec_extended_2,Mixed Outcome,*,-0.193* (0.102)
v2jupoatck_lag1,-0.233449173879824,Expands Expression,Expands Expression,0.1276360693417597,0.06739631836915692,spec_extended_2,Mixed Outcome,*,-0.233* (0.128)
v2x_polyarchy_lag1,3.3924595938373896,Contracts Expression,Contracts Expression,1.1085991309945602,0.0022123951435302327,spec_extended_2,Mixed Outcome,***,3.392*** (1.109)
v2x_polyarchy_lag1,5.515180377852426,Expands Expression,Expands Expression,1.2979429438592875,2.145639261420366e-05,spec_extended_2,Mixed Outcome,***,5.515*** (1.298)
v2jureview_lag1,0.7729975942232921,Contracts Expression,Contracts Expression,0.32157036847358555,0.016224717023503293,spec_extended_2,Mixed Outcome,**,0.773** (0.322)
v2jureview_lag1,0.28420117593604777,Expands Expression,Expands Expression,0.36386509170465386,0.4347660630848692,spec_extended_2,Mixed Outcome,,0.284 (0.364)
legal_common,-1.712319504911708,Contracts Expression,Contracts Expression,0.32526050003256995,1.406052701051132e-07,spec_extended_2,Mixed Outcome,***,-1.712*** (0.325)
