row_id,case_id,indep1,indep2,attack1,attack2,attack3,attack4,attack5,dejure1,dejure2,dejure3,dejure4,dejure5,dejure6,full1,full2,full3,full4
129,France_2023_07,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
130,France_2024_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
131,Haiti_2023_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
132,Honduras_2006_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
133,Honduras_2015_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
134,Honduras_2021_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
135,Honduras_2022_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
136,Hungary_1992_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
137,Hungary_1999_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
138,Hungary_2004_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
139,Hungary_2006_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
140,Hungary_2008_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
141,Hungary_2009_03,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
142,Hungary_2010_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
143,Hungary_2012_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
144,Hungary_2013_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
145,Hungary_2014_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
146,Hungary_2016_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
147,Hungary_2018_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
148,Hungary_2019_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
149,Hungary_2020_02,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
150,Hungary_2022_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
151,Hungary_2023_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
152,Hungary_2024_03,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
153,Kazakhstan_2009_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
154,Kazakhstan_2013_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
155,Kazakhstan_2014_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
156,Kazakhstan_2015_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
157,Kazakhstan_2016_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
158,Kazakhstan_2017_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
159,Kazakhstan_2019_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
160,Kenya_2011_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
161,Kenya_2013_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
162,Kenya_2014_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
163,Kenya_2015_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
164,Kenya_2016_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
165,Kenya_2017_03,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
166,Kenya_2018_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
167,Kenya_2019_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
168,Kenya_2020_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
169,Kenya_2024_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
170,Kenya_2025_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
171,Lesotho_2003_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
172,Lesotho_2005_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
173,Lesotho_2008_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
174,Lesotho_2018_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
175,Malawi_2002_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
176,Malawi_2019_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
177,Malawi_2020_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
178,Malaysia_2014_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
179,Malaysia_2015_03,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
180,Malaysia_2016_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
181,Malaysia_2018_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
182,Malaysia_2021_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
183,Malta_2015_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
184,Malta_2017_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
185,Malta_2018_02,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
186,Malta_2019_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
187,Malta_2020_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
188,Myanmar_2014_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
189,Myanmar_2015_03,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
190,Myanmar_2016_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
191,Myanmar_2021_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
192,Namibia_1986_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
193,Namibia_2010_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
194,Namibia_2015_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
195,Namibia_2019_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
196,Nepal_2014_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
197,Nepal_2024_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
198,Nigeria_1998_02,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
199,Nigeria_2000_02,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
200,Nigeria_2012_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
201,Nigeria_2013_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
202,Nigeria_2016_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
203,Nigeria_2018_03,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
204,Nigeria_2019_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
205,Nigeria_2020_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
206,Nigeria_2021_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
207,Nigeria_2022_03,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
208,Nigeria_2023_02,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
209,Nigeria_2025_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
210,Pakistan_2002_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
211,Pakistan_2010_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
212,Pakistan_2013_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
213,Pakistan_2014_03,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
214,Pakistan_2015_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
215,Pakistan_2018_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
216,Pakistan_2019_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
217,Pakistan_2020_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
