,Intercept,wdj_citizen_lag1,v2jureform_lag1,v2x_polyarchy_lag1,v2jureview_lag1,legal_common,legal_civil,high_court,j_ind_lag1,mode_electronic_internet,mode_press_newspapers,mode_public_speech,mode_public_documents,mode_audio_visual_broadcasting,mode_public_assembly,mode_non_verbal_expression,defendant_citizen,defendant_press,defendant_government,defendant_intermediary,defendant_unclear
94,1.0,1.0,-0.058,0.841,1.753,0.0,1.0,0.0,2.589,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,1.0,1.0,-0.058,0.833,0.37,0.0,1.0,1.0,1.545,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
96,1.0,0.962962963,-0.055,0.626,1.707,0.0,1.0,1.0,1.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
97,1.0,0.962962963,-0.055,0.665,1.707,0.0,1.0,1.0,1.08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
98,1.0,0.962962963,-0.055,0.658,1.707,0.0,1.0,1.0,1.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
99,1.0,0.968253968,-0.055,0.659,1.707,0.0,1.0,1.0,1.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
100,1.0,0.0,-2.359,0.13,1.087,0.0,0.0,1.0,-0.755,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
101,1.0,0.0,-2.359,0.131,1.087,0.0,0.0,1.0,-0.755,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
102,1.0,0.0,-2.359,0.131,1.087,0.0,0.0,0.0,-0.632,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
103,1.0,0.0,1.13,0.227,-1.255,0.0,1.0,0.0,-0.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
104,1.0,0.0,1.13,0.226,-0.799,0.0,1.0,0.0,-0.95,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
108,1.0,-0.333333333,-0.661,0.4,0.265,1.0,0.0,1.0,-0.751,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
