,Intercept,"bs(year, df=4)[0]","bs(year, df=4)[1]","bs(year, df=4)[2]","bs(year, df=4)[3]",v2x_polyarchy_lag1,"bs(year, df=4)[0]:v2x_polyarchy_lag1","bs(year, df=4)[1]:v2x_polyarchy_lag1","bs(year, df=4)[2]:v2x_polyarchy_lag1","bs(year, df=4)[3]:v2x_polyarchy_lag1",wdj_expression_lag1,v2jupoatck_lag1,v2jureview_lag1,legal_common,legal_civil,high_court,j_ind_lag1
223,1.0,0.00592345781850155,0.14134028516924532,0.8513645148997703,0.0013717421124828531,0.485,0.002872877041973252,0.06855003830708398,0.4129117897263886,0.0006652949245541837,0.0,-1.422,1.821,0.0,0.0,1.0,0.185
224,1.0,0.0024989587671803413,0.09024017770373455,0.8702238264920481,0.037037037037037035,0.45,0.0011245314452311536,0.040608079966680546,0.39160072192142165,0.016666666666666666,0.533333333,-0.998,1.821,0.0,0.0,0.0,0.375
225,1.0,0.0014461566939701052,0.0663946606609386,0.8443676874461886,0.0877914951989026,0.428,0.000618955065019205,0.02841691476288172,0.3613893702269687,0.037574759945130314,0.533333333,-0.561,1.821,0.0,0.0,0.0,0.375
226,1.0,9.255402841408673e-05,0.01241252358842252,0.5169873778015448,0.4705075445816187,0.411,3.803970567818964e-05,0.0051015471948416555,0.2124818122764349,0.19337860082304528,0.359477124,0.692,1.821,0.0,0.0,0.0,0.115
233,1.0,0.008433985839233651,0.16680549770928776,0.8247605164514784,0.0,0.876,0.007388171595168678,0.1461216159933361,0.7224902124114951,0.0,0.55308642,-0.627,1.76,0.0,1.0,1.0,1.721
235,1.0,0.003968253968253968,0.11552028218694886,0.8695375269449344,0.010973936899862825,0.698,0.0027698412698412694,0.0806331569664903,0.6069371938075642,0.007659807956104252,0.559178744,-3.084,1.76,0.0,1.0,0.0,1.792
241,1.0,0.024429111707718425,0.2570002104812512,0.71847989367726,0.0,0.216,0.00527668812886718,0.05551204546395026,0.15519165703428814,0.0,0.0,-1.401,0.452,0.0,0.0,1.0,-1.038
244,1.0,0.015275109184206161,0.21431473892989816,0.7703988038691744,0.0,0.414,0.00632389520226135,0.08872630191697783,0.3189451048018382,0.0,0.0,2.621,1.667,1.0,0.0,1.0,0.016
245,1.0,0.0115538076401124,0.19117397376981912,0.7972708000879785,0.0,0.414,0.004783276363006533,0.07914602514070511,0.33007011123642305,0.0,0.0,2.621,1.667,1.0,0.0,0.0,0.374
246,1.0,0.008433985839233651,0.16680549770928776,0.8247605164514784,0.0,0.416,0.0035085381091211985,0.0693910870470637,0.343100374843815,0.0,0.0,2.621,1.667,1.0,0.0,0.0,0.374
