,Intercept,wdj_expression_lag1,v2jupack_lag1
446,1.0,0.0,1.667
447,1.0,0.0,1.667
448,1.0,0.0,1.667
449,1.0,0.0,1.667
450,1.0,0.0,1.667
451,1.0,0.0,1.667
452,1.0,0.0,1.667
453,1.0,0.0,1.667
454,1.0,0.0,1.667
455,1.0,0.0,1.667
456,1.0,0.0,1.667
457,1.0,0.0,1.667
458,1.0,0.0,1.764
459,1.0,0.0,1.764
460,1.0,0.0,1.764
461,1.0,0.0,1.764
462,1.0,0.0,1.764
463,1.0,0.0,1.764
464,1.0,0.0,1.764
465,1.0,0.0,1.764
466,1.0,0.777777778,1.764
467,1.0,0.777777778,1.764
468,1.0,0.777777778,1.764
469,1.0,0.777777778,1.764
470,1.0,0.777777778,1.764
471,1.0,0.777777778,1.088
472,1.0,0.777777778,1.088
473,1.0,0.920634921,1.959
474,1.0,0.920634921,1.959
475,1.0,0.920634921,1.959
476,1.0,0.920634921,1.959
477,1.0,0.920634921,1.959
478,1.0,0.920634921,1.959
479,1.0,0.920634921,1.959
480,1.0,0.920634921,1.959
481,1.0,0.920634921,1.959
482,1.0,0.920634921,1.959
483,1.0,0.920634921,1.959
484,1.0,0.920634921,1.959
485,1.0,0.920634921,1.959
486,1.0,0.920634921,1.959
487,1.0,0.920634921,1.959
488,1.0,0.920634921,1.959
489,1.0,0.920634921,1.959
490,1.0,0.920634921,1.959
491,1.0,0.920634921,1.959
492,1.0,0.920634921,1.959
493,1.0,0.908119658,1.04
494,1.0,0.900966184,1.04
495,1.0,0.0,-2.151
496,1.0,0.0,0.415
497,1.0,0.0,1.389
498,1.0,0.0,1.389
499,1.0,0.0,1.389
500,1.0,0.0,1.389
501,1.0,0.0,1.597
502,1.0,0.0,1.597
503,1.0,0.0,1.597
504,1.0,0.0,1.597
505,1.0,0.0,1.597
506,1.0,0.0,1.597
507,1.0,0.0,1.597
508,1.0,0.0,1.597
509,1.0,0.0,1.597
510,1.0,0.0,1.597
511,1.0,0.0,1.597
512,1.0,0.0,1.597
513,1.0,0.0,1.597
514,1.0,0.0,1.597
515,1.0,0.0,1.597
516,1.0,0.0,1.597
517,1.0,0.0,1.597
518,1.0,0.0,1.597
519,1.0,0.62962963,1.597
520,1.0,0.62962963,1.597
521,1.0,0.62962963,1.597
522,1.0,0.62962963,1.597
523,1.0,0.62962963,1.597
524,1.0,0.62962963,1.597
525,1.0,0.62962963,1.597
526,1.0,0.62962963,1.597
527,1.0,0.62962963,1.597
528,1.0,0.62962963,1.597
529,1.0,0.62962963,1.597
530,1.0,0.62962963,1.597
531,1.0,0.62962963,1.597
532,1.0,0.62962963,1.597
533,1.0,0.62962963,1.597
534,1.0,0.62962963,1.597
535,1.0,0.62962963,1.597
536,1.0,0.62962963,1.597
537,1.0,0.393162393,1.618
538,1.0,0.0,1.092
539,1.0,0.0,1.092
540,1.0,0.0,-0.312
541,1.0,0.393939394,0.858
542,1.0,0.393939394,0.858
543,1.0,0.393939394,0.858
544,1.0,0.393939394,0.858
545,1.0,0.393939394,0.858
546,1.0,0.393939394,0.858
547,1.0,0.393939394,0.858
548,1.0,0.393939394,0.858
549,1.0,0.393939394,0.858
550,1.0,0.393939394,0.858
551,1.0,0.393939394,0.858
552,1.0,0.393939394,0.858
553,1.0,0.393939394,0.151
554,1.0,0.393939394,0.151
555,1.0,0.393939394,0.151
556,1.0,0.494152047,-0.019
557,1.0,0.494152047,0.829
558,1.0,0.447089947,0.829
559,1.0,0.447089947,0.829
560,1.0,0.0,0.372
561,1.0,0.873015873,0.372
562,1.0,0.873015873,0.372
563,1.0,0.873015873,0.372
564,1.0,0.873015873,0.372
565,1.0,0.873015873,0.372
566,1.0,0.0,1.241
567,1.0,0.0,1.241
568,1.0,0.777777778,1.241
569,1.0,0.777777778,1.241
570,1.0,0.777777778,1.241
571,1.0,0.851851852,1.241
572,1.0,0.851851852,1.241
573,1.0,0.0,0.581
574,1.0,0.633986928,0.147
575,1.0,0.633986928,0.147
576,1.0,0.633986928,0.147
577,1.0,0.633986928,0.147
578,1.0,0.633986928,0.147
579,1.0,0.763888889,0.442
580,1.0,0.763888889,-0.25
581,1.0,0.711111111,-0.039
582,1.0,0.711111111,-0.039
583,1.0,0.711111111,-0.039
584,1.0,0.711111111,-0.039
585,1.0,0.711111111,-0.039
586,1.0,0.711111111,-0.039
587,1.0,0.711111111,-0.039
588,1.0,0.711111111,-0.039
589,1.0,0.711111111,-0.039
590,1.0,0.711111111,-0.039
591,1.0,0.711111111,-0.109
592,1.0,0.5,0.962
593,1.0,0.5,0.962
594,1.0,0.0,0.962
595,1.0,0.0,1.055
596,1.0,0.0,1.055
597,1.0,0.0,1.055
598,1.0,0.953703704,1.055
599,1.0,0.907407407,1.195
