variable,coef,class_label,outcome,std_err,p_value,spec,base_category,stars,coef_se
legal_common,0.5300304684169892,Contracts Expression,Contracts Expression,0.476574493084964,0.2660663138652374,spec_extended_2,Mixed Outcome,,0.53 (0.477)
legal_common,-1.182289036494717,Expands Expression,Expands Expression,0.39015702246808676,0.0024431879003051016,spec_extended_2,Mixed Outcome,***,-1.182*** (0.39)
legal_civil,0.1991011945788415,Contracts Expression,Contracts Expression,0.42648346811802346,0.6406115831405674,spec_extended_2,Mixed Outcome,,0.199 (0.426)
legal_civil,-0.1528846553012576,Expands Expression,Expands Expression,0.36137640258807063,0.6722499623786062,spec_extended_2,Mixed Outcome,,-0.153 (0.361)
high_court,-0.5374338034320993,Contracts Expression,Contracts Expression,0.27312480564019764,0.04909998476776925,spec_extended_2,Mixed Outcome,**,-0.537** (0.273)
high_court,-0.024198286920213374,Expands Expression,Expands Expression,0.1567218335842625,0.8772921611782939,spec_extended_2,Mixed Outcome,,-0.024 (0.157)
j_ind_lag1,0.1784884351268973,Contracts Expression,Contracts Expression,0.2525953108388173,0.47980379713709964,spec_extended_2,Mixed Outcome,,0.178 (0.253)
j_ind_lag1,0.35918374645459383,Expands Expression,Expands Expression,0.20042466033020134,0.07311478126711368,spec_extended_2,Mixed Outcome,*,0.359* (0.2)
Intercept,2.6705044165719483,Contracts Expression,Contracts Expression,1.0024617447337132,0.007722985334420204,spec_extended_2_spline,Mixed Outcome,***,2.671*** (1.002)
Intercept,-3.2523018108366233,Expands Expression,Expands Expression,0.9030947490532143,0.00031664790423388203,spec_extended_2_spline,Mixed Outcome,***,-3.252*** (0.903)
"bs(year, df=4)[0]",4.6898225900876245,Contracts Expression,Contracts Expression,2.7586664789525064,0.08912481800439906,spec_extended_2_spline,Mixed Outcome,*,4.69* (2.759)
"bs(year, df=4)[0]",11.975782972149336,Expands Expression,Expands Expression,1.8405010997474132,7.676561784355072e-11,spec_extended_2_spline,Mixed Outcome,***,11.976*** (1.841)
"bs(year, df=4)[1]",-0.6772403026430156,Contracts Expression,Contracts Expression,1.3247097901083953,0.6091853015389845,spec_extended_2_spline,Mixed Outcome,,-0.677 (1.325)
"bs(year, df=4)[1]",3.26827302311349,Expands Expression,Expands Expression,1.145066602033545,0.00431425218341185,spec_extended_2_spline,Mixed Outcome,***,3.268*** (1.145)
"bs(year, df=4)[2]",1.2260038695321305,Contracts Expression,Contracts Expression,0.9360976063993488,0.19029848803824734,spec_extended_2_spline,Mixed Outcome,,1.226 (0.936)
"bs(year, df=4)[2]",4.977014854972919,Expands Expression,Expands Expression,1.1250173860336676,9.6914776527774e-06,spec_extended_2_spline,Mixed Outcome,***,4.977*** (1.125)
"bs(year, df=4)[3]",-2.172490947741953,Contracts Expression,Contracts Expression,1.7761293002639083,0.2212691357093176,spec_extended_2_spline,Mixed Outcome,,-2.172 (1.776)
"bs(year, df=4)[3]",4.238646279510089,Expands Expression,Expands Expression,0.8614258601433575,8.632322883897574e-07,spec_extended_2_spline,Mixed Outcome,***,4.239*** (0.861)
wdj_expression_lag1,0.6126605379026185,Contracts Expression,Contracts Expression,0.4727251284774752,0.19496909238851656,spec_extended_2_spline,Mixed Outcome,,0.613 (0.473)
wdj_expression_lag1,0.13652349640396863,Expands Expression,Expands Expression,0.3603556266405741,0.7047935526102522,spec_extended_2_spline,Mixed Outcome,,0.137 (0.36)
v2jupoatck_lag1,0.22694145541008753,Contracts Expression,Contracts Expression,0.1460604424272819,0.12024399112715345,spec_extended_2_spline,Mixed Outcome,,0.227 (0.146)
v2jupoatck_lag1,-0.03949756761090513,Expands Expression,Expands Expression,0.13425145524620055,0.7686005873426223,spec_extended_2_spline,Mixed Outcome,,-0.039 (0.134)
