,Intercept,wdj_expression_lag1,v2jupack_lag1,v2x_polyarchy_lag1,v2jureview_lag1,legal_common,legal_civil,high_court,j_ind_lag1
222,1.0,0.0,0.388,0.521,1.821,0.0,0.0,1.0,0.94
223,1.0,0.0,0.17,0.485,1.821,0.0,0.0,1.0,0.185
224,1.0,0.533333333,0.428,0.45,1.821,0.0,0.0,0.0,0.375
225,1.0,0.533333333,0.428,0.428,1.821,0.0,0.0,0.0,0.375
226,1.0,0.359477124,0.181,0.411,1.821,0.0,0.0,0.0,0.115
233,1.0,0.55308642,0.036,0.876,1.76,0.0,1.0,1.0,1.721
235,1.0,0.559178744,-0.373,0.698,1.76,0.0,1.0,0.0,1.792
241,1.0,0.0,-1.621,0.216,0.452,0.0,0.0,1.0,-1.038
244,1.0,0.0,1.673,0.414,1.667,1.0,0.0,1.0,0.016
245,1.0,0.0,1.673,0.414,1.667,1.0,0.0,0.0,0.374
246,1.0,0.0,1.673,0.416,1.667,1.0,0.0,0.0,0.374
247,1.0,0.305555556,1.673,0.403,1.667,1.0,0.0,0.0,0.132
248,1.0,0.305555556,1.673,0.402,1.667,1.0,0.0,0.0,0.416
250,1.0,0.0,0.305,0.392,-0.987,0.0,0.0,0.0,0.691
251,1.0,0.0,1.37,0.663,1.237,0.0,0.0,0.0,0.909
252,1.0,0.0,1.37,0.709,1.237,0.0,0.0,0.0,0.909
253,1.0,0.0,1.37,0.743,1.237,0.0,0.0,1.0,1.392
254,1.0,0.0,1.37,0.743,1.237,0.0,0.0,1.0,1.392
255,1.0,0.0,1.37,0.743,1.237,0.0,0.0,1.0,1.392
256,1.0,0.0,1.37,0.764,1.237,0.0,0.0,1.0,1.392
257,1.0,0.0,1.37,0.778,1.237,0.0,0.0,1.0,1.392
258,1.0,0.0,1.37,0.779,1.237,0.0,0.0,0.0,0.909
259,1.0,0.0,1.37,0.779,1.237,0.0,0.0,0.0,1.28
260,1.0,0.0,1.37,0.775,1.237,0.0,0.0,1.0,1.392
261,1.0,0.0,1.37,0.775,1.237,0.0,0.0,0.0,1.28
262,1.0,0.0,1.37,0.778,1.237,0.0,0.0,1.0,1.392
263,1.0,0.0,1.37,0.777,1.237,0.0,0.0,1.0,1.392
264,1.0,0.0,1.37,0.779,1.237,0.0,0.0,1.0,1.392
265,1.0,0.0,1.355,0.765,1.237,0.0,0.0,0.0,1.494
266,1.0,0.0,1.355,0.758,1.237,0.0,0.0,1.0,1.554
267,1.0,0.0,1.355,0.755,1.237,0.0,0.0,0.0,1.494
268,1.0,0.0,1.355,0.752,1.237,0.0,0.0,1.0,1.554
269,1.0,0.0,1.355,0.738,1.237,0.0,0.0,0.0,1.494
270,1.0,0.0,1.355,0.747,1.237,0.0,0.0,0.0,1.494
271,1.0,0.0,1.355,0.727,1.237,0.0,0.0,0.0,1.377
272,1.0,0.402777778,1.355,0.719,1.237,0.0,0.0,1.0,1.869
273,1.0,0.402777778,1.355,0.725,1.237,0.0,0.0,1.0,1.869
274,1.0,0.402777778,1.355,0.718,1.237,0.0,0.0,0.0,2.031
276,1.0,0.0,-0.607,0.513,0.734,0.0,0.0,1.0,0.651
277,1.0,0.0,1.243,0.591,0.823,0.0,0.0,0.0,1.954
279,1.0,0.0,1.576,0.585,1.268,0.0,0.0,0.0,1.449
280,1.0,0.0,0.426,0.201,1.345,0.0,1.0,1.0,-2.121
281,1.0,0.0,1.633,0.168,1.345,0.0,1.0,0.0,-2.077
285,1.0,0.0,-0.237,0.411,1.111,0.0,0.0,0.0,0.509
286,1.0,0.0,-0.237,0.493,1.111,0.0,0.0,0.0,0.994
287,1.0,0.0,-0.237,0.446,1.513,0.0,0.0,0.0,0.994
288,1.0,0.0,-0.237,0.162,0.773,0.0,0.0,0.0,-0.38
289,1.0,0.0,0.591,0.16,0.665,0.0,0.0,0.0,-0.77
290,1.0,0.0,0.591,0.154,0.665,0.0,0.0,0.0,-0.661
291,1.0,0.0,0.489,0.201,0.665,0.0,0.0,0.0,-0.661
305,1.0,0.0,-1.654,0.388,1.486,0.0,1.0,0.0,0.501
308,1.0,0.0,-3.131,0.295,0.245,0.0,1.0,1.0,0.156
312,1.0,0.619047619,-1.519,0.285,1.455,0.0,1.0,0.0,-0.789
314,1.0,0.0,-0.813,0.27,1.888,0.0,0.0,0.0,-0.064
315,1.0,0.0,-1.096,0.32,1.888,0.0,0.0,0.0,-0.064
316,1.0,0.0,-0.944,0.318,1.888,0.0,0.0,0.0,-0.064
317,1.0,0.0,-0.987,0.312,1.888,0.0,0.0,0.0,-0.101
319,1.0,0.0,-0.748,0.283,1.888,0.0,0.0,0.0,-0.544
320,1.0,0.0,-1.002,0.284,1.888,0.0,0.0,0.0,-0.544
321,1.0,0.755555556,-0.835,0.285,0.984,0.0,0.0,0.0,-0.956
322,1.0,0.0,1.066,0.533,2.009,1.0,0.0,1.0,1.853
323,1.0,0.0,1.066,0.559,2.009,1.0,0.0,0.0,1.336
324,1.0,0.0,1.087,0.554,2.009,1.0,0.0,1.0,1.574
325,1.0,0.0,1.087,0.562,2.009,1.0,0.0,1.0,1.055
326,1.0,0.0,1.087,0.585,2.009,1.0,0.0,1.0,1.875
327,1.0,0.0,1.087,0.612,2.009,1.0,0.0,1.0,1.875
328,1.0,0.0,1.087,0.668,2.009,1.0,0.0,1.0,1.875
329,1.0,0.0,1.087,0.679,2.009,1.0,0.0,1.0,1.875
330,1.0,0.0,1.087,0.678,2.009,1.0,0.0,1.0,1.875
331,1.0,0.0,1.087,0.672,2.009,1.0,0.0,1.0,1.875
332,1.0,0.0,1.087,0.693,2.009,1.0,0.0,1.0,1.875
333,1.0,0.0,1.087,0.7,2.009,1.0,0.0,1.0,1.875
334,1.0,0.0,1.087,0.7,2.009,1.0,0.0,1.0,1.875
335,1.0,0.0,1.751,0.718,2.009,1.0,0.0,1.0,2.327
336,1.0,0.0,1.751,0.724,2.009,1.0,0.0,1.0,2.327
337,1.0,0.0,1.751,0.765,2.009,1.0,0.0,1.0,2.327
338,1.0,0.0,1.751,0.782,2.009,1.0,0.0,1.0,2.327
339,1.0,0.0,1.751,0.791,2.009,1.0,0.0,1.0,2.327
340,1.0,0.0,1.191,0.831,2.009,1.0,0.0,1.0,2.327
341,1.0,0.0,1.191,0.834,2.009,1.0,0.0,0.0,1.454
342,1.0,0.0,1.191,0.832,2.009,1.0,0.0,1.0,2.327
343,1.0,0.0,2.157,0.855,2.009,1.0,0.0,0.0,1.454
344,1.0,0.0,2.157,0.856,2.009,1.0,0.0,1.0,2.327
345,1.0,0.0,2.157,0.857,2.009,1.0,0.0,1.0,2.327
346,1.0,0.0,2.157,0.863,2.009,1.0,0.0,1.0,2.327
347,1.0,0.0,2.157,0.862,2.009,1.0,0.0,1.0,2.327
348,1.0,0.0,2.157,0.859,2.009,1.0,0.0,1.0,2.327
349,1.0,0.0,2.157,0.863,2.009,1.0,0.0,1.0,2.327
350,1.0,0.0,2.157,0.867,2.009,1.0,0.0,0.0,1.454
351,1.0,0.0,2.157,0.872,2.009,1.0,0.0,1.0,2.327
352,1.0,0.0,2.157,0.867,2.009,1.0,0.0,0.0,1.454
353,1.0,0.0,2.157,0.867,2.009,1.0,0.0,1.0,2.327
354,1.0,0.0,2.157,0.868,2.009,1.0,0.0,0.0,1.454
355,1.0,-0.666666667,2.157,0.869,2.009,1.0,0.0,0.0,1.454
356,1.0,-0.666666667,2.157,0.871,2.009,1.0,0.0,1.0,2.327
357,1.0,0.0,2.157,0.871,2.009,1.0,0.0,0.0,1.454
358,1.0,0.0,2.157,0.868,2.009,1.0,0.0,1.0,2.327
359,1.0,0.0,2.157,0.867,2.009,1.0,0.0,1.0,2.327
360,1.0,0.0,2.157,0.828,2.009,1.0,0.0,1.0,2.327
361,1.0,0.0,2.157,0.829,2.009,1.0,0.0,1.0,2.327
362,1.0,0.0,2.157,0.862,2.009,1.0,0.0,1.0,2.327
363,1.0,0.0,2.157,0.862,2.009,1.0,0.0,0.0,1.862
364,1.0,0.0,2.157,0.897,2.009,1.0,0.0,0.0,1.862
365,1.0,0.0,2.157,0.9,2.009,1.0,0.0,1.0,2.327
366,1.0,0.0,2.157,0.9,2.009,1.0,0.0,1.0,2.327
367,1.0,0.0,2.157,0.9,2.009,1.0,0.0,1.0,2.522
368,1.0,0.0,2.157,0.896,2.009,1.0,0.0,1.0,2.522
369,1.0,0.0,2.157,0.896,2.009,1.0,0.0,1.0,2.522
370,1.0,0.0,2.157,0.905,2.009,1.0,0.0,0.0,2.366
371,1.0,0.0,2.157,0.901,2.009,1.0,0.0,0.0,2.366
372,1.0,0.0,2.157,0.9,2.009,1.0,0.0,0.0,2.366
373,1.0,1.0,1.733,0.885,2.009,1.0,0.0,0.0,2.645
374,1.0,1.0,1.733,0.834,2.009,1.0,0.0,0.0,2.645
375,1.0,1.0,1.733,0.824,2.009,1.0,0.0,0.0,2.645
376,1.0,1.0,1.733,0.818,2.009,1.0,0.0,0.0,2.619
377,1.0,1.0,1.484,0.815,2.009,1.0,0.0,0.0,2.233
378,1.0,1.0,1.484,0.821,2.009,1.0,0.0,0.0,2.184
381,1.0,1.0,1.484,0.843,2.009,1.0,0.0,0.0,2.102
382,1.0,0.0,1.977,0.912,1.893,0.0,1.0,1.0,1.952
383,1.0,0.746031746,1.977,0.867,1.893,0.0,1.0,0.0,2.36
384,1.0,0.746031746,1.977,0.852,1.893,0.0,1.0,1.0,2.069
385,1.0,0.746031746,1.977,0.833,1.893,0.0,1.0,0.0,2.575
388,1.0,0.40530303,-0.836,0.431,1.041,0.0,1.0,1.0,-2.685
393,1.0,0.0,-1.364,0.149,-1.011,0.0,1.0,0.0,-0.844
394,1.0,0.0,-0.914,0.147,-1.011,0.0,1.0,0.0,-0.844
395,1.0,0.0,-0.914,0.147,-1.011,0.0,1.0,0.0,-0.844
396,1.0,0.0,-0.914,0.148,-1.011,0.0,1.0,0.0,-0.844
397,1.0,0.0,-0.914,0.15,-1.011,0.0,1.0,0.0,-0.844
399,1.0,-0.222222222,1.242,0.5,1.646,0.0,0.0,1.0,0.635
400,1.0,-0.222222222,1.131,0.485,1.183,0.0,0.0,0.0,1.422
401,1.0,-0.222222222,1.131,0.478,1.183,0.0,0.0,0.0,1.422
402,1.0,-0.222222222,0.984,0.353,1.066,0.0,0.0,0.0,0.524
403,1.0,0.0,-2.384,0.31,1.295,0.0,0.0,1.0,1.019
404,1.0,0.0,-2.773,0.269,1.295,0.0,0.0,1.0,0.092
407,1.0,0.0,-0.209,0.289,1.774,0.0,0.0,1.0,0.412
408,1.0,0.0,0.264,0.303,1.774,0.0,0.0,0.0,0.506
409,1.0,0.0,0.886,0.302,1.774,0.0,0.0,0.0,0.362
410,1.0,0.0,-0.103,0.297,1.168,0.0,0.0,0.0,0.506
411,1.0,0.0,0.336,0.3,1.703,0.0,0.0,1.0,0.412
413,1.0,0.0,1.834,0.896,1.835,1.0,0.0,1.0,3.366
414,1.0,0.0,1.834,0.862,1.835,1.0,0.0,1.0,2.528
415,1.0,0.0,1.834,0.862,1.835,1.0,0.0,0.0,3.014
416,1.0,0.0,1.834,0.862,1.835,1.0,0.0,1.0,2.528
417,1.0,0.0,1.834,0.862,1.835,1.0,0.0,0.0,3.014
418,1.0,0.0,1.834,0.855,1.835,1.0,0.0,1.0,2.528
419,1.0,0.0,1.834,0.871,1.835,1.0,0.0,0.0,3.014
420,1.0,0.0,1.834,0.871,1.835,1.0,0.0,0.0,3.014
421,1.0,0.0,1.834,0.871,1.835,1.0,0.0,0.0,3.014
422,1.0,0.0,1.834,0.871,1.835,1.0,0.0,1.0,3.279
423,1.0,0.0,1.834,0.871,1.835,1.0,0.0,0.0,3.014
424,1.0,0.944444444,1.834,0.86,1.835,1.0,0.0,1.0,3.279
425,1.0,0.944444444,1.834,0.86,1.835,1.0,0.0,0.0,3.014
426,1.0,0.944444444,1.834,0.86,1.835,1.0,0.0,0.0,3.014
427,1.0,1.0,1.834,0.825,1.835,1.0,0.0,0.0,3.014
431,1.0,0.055555556,-1.729,0.252,1.826,0.0,0.0,1.0,-1.089
433,1.0,0.0,1.309,0.717,1.874,0.0,0.0,1.0,1.74
434,1.0,0.0,1.858,0.835,1.901,1.0,0.0,1.0,2.199
